Time (UNIX),Acc_x (1/64g),Acc_y (1/64g),Acc_z (1/64g),Left_Speed,Right_Speed,Comments
1639348667,-10,58,-8,42,45,
,,,,,,
1639348667,-10,58,-8,42,45,
,,,,,,
1639348667,-10,60,-8,43,47,
,,,,,,
1639348667,-11,59,-7,42,46,
,,,,,,
1639348667,-12,66,-7,47,52,
,,,,,,
1639348667,-9,65,13,47,51,
,,,,,,
1639348667,-3,59,13,45,46,
,,,,,,
1639348667,4,23,56,18,17,
,,,,,,
1639348668,6,-14,63,-11,-11,
,,,,,,
1639348668,8,-40,43,-31,-29,
,,,,,,
1639348668,9,-46,42,-36,-33,
,,,,,,
1639348668,5,-65,26,-51,-49,
,,,,,,
1639348668,6,-57,22,-45,-43,
,,,,,,
1639348668,3,-64,20,-50,-49,
,,,,,,
1639348668,3,-60,21,-47,-46,
,,,,,,
1639348669,4,-59,20,-46,-44,
,,,,,,
1639348669,3,-60,18,-47,-46,
,,,,,,
1639348669,4,-62,20,-48,-46,
,,,,,,
1639348669,4,-60,23,-47,-45,
,,,,,,
1639348669,4,-61,22,-48,-46,
,,,,,,
1639348669,3,-60,22,-47,-46,
,,,,,,
1639348669,4,-58,18,-45,-44,
,,,,,,
1639348669,8,-63,17,-49,-46,
,,,,,,
1639348669,13,-59,18,-46,-41,
,,,,,,
1639348670,1,-61,10,-48,-48,
,,,,,,
1639348670,-2,-61,11,-47,-48,
,,,,,,
1639348670,-10,-63,6,-45,-49,
,,,,,,
1639348670,-9,-62,8,-45,-48,
,,,,,,
1639348670,-9,-64,7,-46,-50,
,,,,,,
1639348670,-11,-62,9,-44,-48,
,,,,,,
1639348670,-19,-61,5,-41,-48,
,,,,,,
1639348670,-20,-61,7,-41,-48,
,,,,,,
1639348671,-14,-60,8,-42,-47,
,,,,,,
1639348671,-19,-59,9,-39,-46,
,,,,,,
1639348671,-23,-62,7,-39,-48,
,,,,,,
1639348671,-20,-61,8,-41,-48,
,,,,,,
1639348671,-19,-60,8,-40,-47,
,,,,,,
1639348671,-19,-59,8,-39,-46,
,,,,,,
1639348671,-20,-59,8,-39,-46,
,,,,,,
1639348672,-26,-58,6,-36,-45,
,,,,,,
1639348672,-26,-56,7,-35,-44,
,,,,,,
1639348672,-27,-57,7,-36,-45,
,,,,,,
1639348672,-26,-57,8,-36,-45,
,,,,,,
1639348672,-27,-58,8,-36,-45,
,,,,,,
1639348672,-29,-57,7,-35,-45,
,,,,,,
1639348672,-28,-56,8,-34,-44,
,,,,,,
1639348672,-28,-59,8,-36,-46,
,,,,,,
1639348672,-27,-58,8,-36,-45,
,,,,,,
1639348673,-29,-57,6,-35,-45,
,,,,,,
1639348673,-27,-55,7,-34,-43,
,,,,,,
1639348673,-26,-59,8,-37,-46,
,,,,,,
1639348673,-24,-59,9,-37,-46,
,,,,,,
1639348673,-23,-58,9,-37,-45,
,,,,,,
1639348673,-24,-61,9,-39,-48,
,,,,,,
1639348673,-23,-58,8,-37,-45,
,,,,,,
1639348673,-23,-59,8,-38,-46,
,,,,,,
1639348674,-15,-63,6,-43,-49,
,,,,,,
1639348674,-9,-62,6,-45,-48,
,,,,,,
1639348674,-12,-62,6,-43,-48,
,,,,,,
1639348674,-15,-62,4,-42,-48,
,,,,,,
1639348674,-11,-63,6,-45,-49,
,,,,,,
1639348674,-14,-62,5,-43,-48,
,,,,,,
1639348674,-15,-62,4,-42,-48,
,,,,,,
1639348675,-20,-62,5,-41,-48,
,,,,,,
1639348675,-22,-57,8,-37,-45,
,,,,,,
1639348675,-29,-57,5,-35,-45,
,,,,,,
1639348675,-27,-58,7,-36,-45,
,,,,,,
1639348675,-27,-57,6,-36,-45,
,,,,,,
1639348675,-28,-57,6,-35,-45,
,,,,,,
1639348675,-28,-57,5,-35,-45,
,,,,,,
1639348675,-26,-57,7,-36,-45,
,,,,,,
1639348675,-28,-59,5,-36,-46,
,,,,,,
1639348676,-27,-57,5,-36,-45,
,,,,,,
1639348676,-28,-57,4,-35,-45,
,,,,,,
1639348676,-28,-58,6,-35,-45,
,,,,,,
1639348676,-28,-57,4,-35,-45,
,,,,,,
1639348676,-28,-55,5,-34,-43,
,,,,,,
1639348676,-27,-56,6,-35,-44,
,,,,,,
1639348676,-27,-58,6,-36,-45,
,,,,,,
1639348676,-27,-57,5,-36,-45,
,,,,,,
1639348677,-26,-58,6,-36,-45,
,,,,,,
1639348677,-25,-56,6,-35,-44,
,,,,,,
1639348677,-28,-59,4,-36,-46,
,,,,,,
1639348677,1,-66,13,-52,-52,
,,,,,,
1639348677,9,-49,31,-38,-35,
,,,,,,
1639348677,7,-2,58,-4,-4,
,,,,,,
1639348677,22,-9,65,-12,-10,
,,,,,,
1639348677,21,-16,65,-14,-12,
,,,,,,
1639348678,5,-4,63,-4,-4,
,,,,,,
1639348678,4,-4,60,-3,-3,
,,,,,,
1639348678,4,2,64,2,2,
,,,,,,
1639348678,4,0,64,2,2,
,,,,,,
1639348678,7,2,64,4,4,
,,,,,,
1639348678,6,1,64,3,3,
,,,,,,
1639348678,6,2,64,3,3,
,,,,,,
1639348678,6,1,64,3,3,
,,,,,,
1639348678,6,1,64,3,3,
,,,,,,
1639348679,6,-1,64,-3,-3,
,,,,,,
1639348679,6,0,65,2,2,
,,,,,,
1639348679,6,-1,63,-3,-3,
,,,,,,
1639348679,6,-1,64,-3,-3,
,,,,,,
1639348679,7,-1,63,-3,-3,
,,,,,,
1639348679,9,-2,64,-4,-4,
,,,,,,
1639348679,9,-1,63,-4,-4,
,,,,,,
1639348680,11,-1,64,-5,-5,
,,,,,,
1639348680,10,-1,64,-4,-4,
,,,,,,
1639348680,9,-1,64,-4,-4,
,,,,,,
1639348680,10,-1,65,-4,-4,
,,,,,,
1639348680,10,-1,63,-4,-4,
,,,,,,
1639348680,12,-2,63,-5,-5,
,,,,,,
1639348680,12,-2,62,-5,-5,
,,,,,,
1639348680,12,-2,62,-5,-5,
,,,,,,
1639348681,21,1,60,9,8,
,,,,,,
1639348681,31,7,53,15,11,
,,,,,,
1639348681,33,7,51,16,12,
,,,,,,
1639348681,45,10,44,21,14,
,,,,,,
1639348681,53,14,35,26,15,
,,,,,,
1639348681,51,16,35,26,16,
,,,,,,
1639348681,52,12,32,25,15,
,,,,,,
1639348681,54,13,31,26,15,
,,,,,,
1639348682,55,10,31,25,14,
,,,,,,
1639348682,55,10,31,25,14,
,,,,,,
1639348682,56,6,32,24,13,
,,,,,,
1639348682,54,7,31,24,14,
,,,,,,
1639348682,55,8,32,25,14,
,,,,,,
1639348682,54,7,32,24,14,
,,,,,,
1639348682,55,7,32,24,14,
,,,,,,
1639348682,55,7,33,24,14,
,,,,,,
1639348683,54,7,32,24,14,
,,,,,,
1639348683,54,7,33,24,14,
,,,,,,
1639348683,54,7,33,24,14,
,,,,,,
1639348683,54,8,33,24,14,
,,,,,,
1639348683,54,7,34,24,14,
,,,,,,
1639348683,54,5,33,23,13,
,,,,,,
1639348683,55,4,33,23,13,
,,,,,,
1639348683,55,4,33,23,13,
,,,,,,
1639348684,55,4,34,23,13,
,,,,,,
1639348684,53,5,34,23,13,
,,,,,,
1639348684,54,5,34,23,13,
,,,,,,
1639348684,53,4,34,22,13,
,,,,,,
